title,image,description
Agnès Buzyn : « Qui peut penser qu’un hypothétique refus de soins décourage l’immigration clandestine ? »,https://img.lemde.fr/2023/11/28/0/0/4678/3118/110/73/60/0/7abdabb_1701183281750-000-33qz69b.jpg,"Voulue par le Sénat, la transformation de l’aide médicale d’Etat revient à faire peser la lutte contre l’immigration clandestine sur le budget des hôpitaux et sa responsabilité sur les médecins hospitaliers, en espérant qu’ils oublieront le serment d’Hippocrate, déplore, dans une tribune au « Monde », l’ancienne ministre de la santé."
Tabagisme : « Il faut avancer sur la voie de la réduction des risques »,https://img.lemde.fr/2023/04/27/0/0/4253/2835/110/73/60/0/a40be1e_1682585330590-2d85c17-1680106845701-le-monde-tribune-def-01.jpg,"Alors que les politiques publiques semblent perdre en efficacité avec le temps, des spécialistes des addictions appellent, dans une tribune au « Monde », à tenter une nouvelle stratégie d’accompagnement des fumeurs."
"Narcotrafic : devant le Sénat, le portrait d’une France où « aucun territoire n’est épargné »",https://img.lemde.fr/2023/11/28/0/0/5722/3814/110/73/60/0/3b1a4e5_1701167982825-953661.jpg,"Les premières auditions de la commission d’enquête sur l’impact du narcotrafic ont eu lieu lundi. Les faits d’homicides ou de tentatives d’homicides liés aux trafics de stupéfiants ont augmenté de 57 % depuis le début de l’année 2023, par rapport à 2022."
"Hausse modérée du prix des cigarettes, plus de lieux publics sans tabac, interdiction des puffs : le gouvernement présente son plan contre le tabagisme",https://img.lemde.fr/2023/11/17/0/0/5860/3906/110/73/60/0/5b10d1d_1700234764531-940190.jpg,"L’objectif est d’atteindre un prix du paquet de cigarettes à 13 euros à l’horizon 2027, avec une étape à 12 euros en 2025, a annoncé le ministre de la santé. Les « espaces sans tabac » vont être généralisés aux plages, forêts et parcs publics, ainsi qu’aux abords des établissements scolaires."
"Les Assises de la pédiatrie, attendues depuis un an, désormais annoncées pour janvier",https://img.lemde.fr/2023/11/27/0/0/4644/3096/110/73/60/0/cda3db3_1701067752039-000-336c2ep.jpg,"Une rencontre préparatoire a eu lieu avec le ministre de la santé, Aurélien Rousseau, vendredi 24 novembre. La pression monte de nouveau dans les hôpitaux."
« Que sait-on du travail ? » : des pistes de soutenabilité pour travailler à tout âge,https://img.lemde.fr/2023/11/24/0/139/832/555/110/73/60/0/450c6ec_1700845387440-media-appel-soutenabilite-travail-3x.png,"Près d’un actif sur deux de 55 à 61 ans, ni à la retraite ni en emploi, est dans cette situation pour raison de santé. Dans le cadre du projet de médiation scientifique « Que sait-on du travail ?  », lancé au mois de mai par le Laboratoire interdisciplinaire d’évaluation des politiques publiques (Liepp) de Sciences Po, et diffusé en collaboration avec « Le Monde », l’ergonome Catherine Delgoulet développe une nouvelle approche de la relation entre santé et travail."
"A l’hôpital Necker-Enfants malades, temple de l’excellence de la pédiatrie à l’épreuve de la crise",https://img.lemde.fr/2023/11/26/0/0/4999/3333/110/73/60/0/8e51232_1701026946389-ad008necker-dsc02502.jpg,"Dans cet établissement pédiatrique de l’Assistance publique-Hôpitaux de Paris où exercent les meilleurs spécialistes du pays, des lits sont fermés, comme ailleurs, par manque de personnels. Avec parfois des conséquences dramatiques, quand des opérations doivent être reportées."
"« Les Français fument bien plus que leurs voisins, même si le prix de leurs cigarettes est jusqu’à deux fois plus onéreux »",https://img.lemde.fr/2023/11/24/517/0/3100/2066/110/73/60/0/314c407_1700817522253-pns-4683842.jpg,"Dans le cadre du mois de novembre désigné mois sans tabac, l’économiste Jérôme Mathis rappelle, dans une tribune au « Monde », que le tabac est un fléau contre lequel la France s’empêche de lutter efficacement."
Accouchement à domicile : un drame relance le débat entre soignants,https://img.lemde.fr/2023/11/24/230/0/1654/1102/110/73/60/0/c9bc881_1700868388944-2023-11-24-colcanopa.jpeg,"Une semaine après le décès, en Ille-et-Vilaine, d’une femme qui avait décidé d’accoucher à domicile, le débat est vif sur cette pratique marginale mais qui interroge l’encadrement des accouchements."
Les pneumopathies infantiles connaissent une forte recrudescence en France,https://img.lemde.fr/2023/11/25/0/0/6000/4000/110/73/60/0/6542660_1700902652239-000-32v7277.jpg,"Pour expliquer le regain épidémique, les médecins évoquent le retour d’une bactérie peu active ces dernières années. Certains font aussi l’hypothèse d’un effet de rattrapage après la pandémie de Covid-19."
"La PMA, un parcours du combattant ?",https://img.lemde.fr/2023/10/31/500/0/3001/2000/110/73/60/0/6b5ce3e_1698743727754-4.jpg,"« (In)fertile » (4/10). Dans les parcours de procréation médicalement assistée (PMA), plusieurs techniques sont possibles, notamment la fécondation in vitro. Une pratique chirurgicale qui peut faire peur."
"Violences conjugales : les professionnels de santé questionnent trop peu leurs patientes, selon la Haute Autorité de santé",https://img.lemde.fr/2023/11/22/1/0/6000/4000/110/73/60/0/9756064_5941042-01-06.jpg,"« Contrairement aux craintes de certains professionnels, 96 % des femmes interrogées considèrent qu’un questionnement systématique est une bonne chose », note la HAS, dont les recommandations visent à « faciliter la parole des victimes »."
"« Psychiatre est un métier d’engagement, de valeurs, de passion et pourtant méconnu »",https://img.lemde.fr/2023/04/27/0/0/4253/2835/110/73/60/0/a40be1e_1682585330590-2d85c17-1680106845701-le-monde-tribune-def-01.jpg,"Alors que les maladies mentales touchent un Français sur cinq, et que la psychiatrie est une discipline en pleine mutation, des spécialistes et des étudiants déplorent, dans une tribune au « Monde », le manque d’attractivité de leur profession."
Vaccination contre le papillomavirus : pas de « dysfonctionnement » identifié après la mort d’un collégien,https://img.lemde.fr/2023/11/24/0/0/664/442/110/73/60/0/241e627_1700821729925-25daa07-1692200901929-epa-10665477.jpg,"L’autopsie a confirmé que le décès du jeune homme était dû à un traumatisme crânio-cérébral, selon le procureur de la République."
"Dans le nord de la Chine, les hôpitaux débordés par une flambée de cas de maladies respiratoires",https://img.lemde.fr/2023/11/23/0/6/5503/3669/110/73/60/0/3c3295b_1700753795243-977983.jpg,"Alors que les services d’urgence sont pris d’assaut, notamment pour des cas de pneumonie, la Chine indique qu’« aucun pathogène nouveau » n’a été détecté."
Pourquoi une nouvelle loi sur la fin de vie ? Comprendre en trois minutes,https://img.lemde.fr/2023/11/21/0/0/1023/682/110/73/60/0/4c73d15_1700586786323-000-336g9u2.jpg,"VIDÉO - La loi Claeys-Leonetti, le dernier texte sur la question, date de 2016 et avait été votée à une large majorité. Alors que le gouvernement s’apprête à présenter un nouveau texte sur la fin de vie, de nombreux acteurs pensent qu’un changement de cadre est urgent. Explications."
Pourquoi le sport devrait être remboursé comme un médicament,https://img.lemde.fr/2023/10/13/0/0/1800/1200/110/73/60/0/fcaa0e1_1697197668043-sport.png,"Les bénéfices de l’activité physique sont prouvés, tant en prévention qu’en traitement, mais son remboursement à l’échelle nationale n’est toujours pas à l’ordre du jour. Explications en podcast avec Sandrine Cabut et Pascale Santi, spécialistes des questions de santé au « Monde »."
"Flambée de maladies respiratoires : la Chine ne signale « aucun pathogène nouveau ou inhabituel », selon l’OMS",https://img.lemde.fr/2023/11/23/0/6/5851/3901/110/73/60/0/afc231d_5950106-01-06.jpg,L’Organisation mondiale de la santé avait demandé au pays « des informations détaillées sur une augmentation des maladies respiratoires et des foyers de pneumonie ».
« Bien vieillir » : « Les vieux méritent mieux qu’un empilement de mesurettes »,https://img.lemde.fr/2023/11/22/0/0/5000/3333/110/73/60/0/211de03_1700664550821-pns-6741041.jpg,"Alors que la ministre des solidarités, Aurore Bergé, vient de présenter sa stratégie pour le grand âge, Yann Lasnier, délégué général des Petits Frères des pauvres, regrette, dans une tribune au « Monde », que les travaux menés dans le cadre du Conseil national de la refondation n’aient servi à rien ou presque. En particulier sur la question de l’isolement social."
L’Organisation mondiale de la santé s’inquiète d’une hausse des maladies respiratoires en Chine,https://img.lemde.fr/2023/01/19/0/0/4000/2666/110/73/60/0/6095dda_5247753-01-06.jpg,"L’organisation onusienne, qui a indiqué que les autorités chinoises attribuaient cette augmentation à la levée des restrictions liées au Covid-19 et à la circulation d’agents pathogènes connus, demande à Pékin d’appliquer un train de mesures."
